cell_type,precision,recall,f1,support
acinar,0.988,0.988,0.988,250
activated_stellate,0.9565217391304348,0.9428571428571428,0.9496402877697842,70
alpha,0.9927272727272727,0.9939320388349514,0.9933292904790783,824
beta,0.9903225806451613,0.9824,0.9863453815261044,625
delta,0.9570552147239264,0.9873417721518988,0.9719626168224299,158
ductal,0.990625,0.9875389408099688,0.9890795631825273,321
endothelial,0.9791666666666666,1.0,0.9894736842105263,47
epsilon,1.0,0.8,0.8888888888888888,5
gamma,0.9811320754716981,0.9904761904761905,0.985781990521327,105
macrophage,1.0,1.0,1.0,12
mast,1.0,0.8333333333333334,0.9090909090909091,6
quiescent_stellate,0.8709677419354839,0.9310344827586207,0.9,29
schwann,1.0,0.75,0.8571428571428571,4
t_cell,1.0,1.0,1.0,1
